#
#   A
# 4 |            Office1                       Office2
#   |               |                             |
#   |               V                             V
# 3 | Office7 --> Router1                       Router2 <-- Office5
#   |                    \                     /
# 2 |                     Server1 <---> Server2
#   |                    /                     \
# 1 | Office8 --> Router4                       Router3 <-- Office6
#   |                A                             A
#   |                |                             |
# 0 |             Office4                       Office3
# --+-------------------------------------------------------------------->
#   |    0           1       2             3       4           5
#
# Zones
#(string)(int) (int) (int)
# Label X Y Z
<ZONE>
    DO5T2  O5T2   TN2    12   18    19
    DO5T3  O5T3   TN2    15   18    19
    DO5T4  O5T4   TN2    12   18    19
    DO6T1  O6T1   TN3    11   18    19
    DO6T2  O6T2   TN3    16   18    19
    DO6T3  O6T3   TN3    16   18    19
    DO6T4  O6T4   TN3    14   18    19
    DO7T1  O7T1   TN1    11   18    19
    DO7T2  O7T2   TN1    16   18    19
    DO7T3  O7T3   TN1    16   18    19
    DO7T4  O7T4   TN1    14   18    19
    DO8T1  O8T1   TN4    23   18    19
    DO8T2  O8T2   TN4    27   18    19
    DO8T3  O8T3   TN4    37   18    19
    DO8T4  O8T4   TN4    29   18    19
    DO9T1  O9T1   TN4    21   29    21
    DO9T2  O9T2   TN4    25   21    24
    DO9T3  O9T3   TN4    12   25    18
    DO9T4  O9T4   TN4    30   23    17
    DO10T1 O10T1  TN4    12   12    09
    DO10T2 O10T2  TN4    14   10    10
    DO10T3 O10T3  TN4    19   31    19
    DO10T4 O10T4  TN4    17   30    10
    DTN1   TN1    Srv1   29    7    12
    DTN2   TN2    Srv1   34   20    21
    DTN3   TN3    Srv2   29    7    12
    DTN4   TN4    Srv2   34   20    21
</DATAFLOW>
